Latitude	Longitude	Address
41.38832	2.16429	232 Carrer de la Diputació, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.37265	2.15399	3 Avinguda de Rius i Taulet, El Poblesec, Barcelona, Barcelona, CT, ES, 08004
41.38619	2.1682	6 Carrer de Bergara, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08002
41.38944	2.14893	232 Carrer del Comte d'Urgell, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08036
41.38486	2.17758	30 Via Laietana, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003
41.39252	2.17267	678 Gran Via de les Corts Catalanes, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.38351	2.17128	109 Carrer la Rambla, El Raval, Barcelona, Barcelona, CT, ES, 08002
41.38306	2.17929	Baixada del Caçador, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39313	2.16162	251 Carrer de Mallorca, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.39182	2.17173	670I Gran Via de les Corts Catalanes, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.38896	2.16514	250 Carrer de la Diputació, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.39381	2.11148	1 Avinguda de Pearson, Pedralbes, Barcelona, Barcelona, CT, ES, 08034
41.40021	2.12984	27 Carrer del Doctor Carulla, Les tres Torres, Barcelona, Barcelona, CT, ES, 08017
41.38346	2.17943	17 Via Laietana, El Gòtic, Barcelona, Barcelona, CT, ES, 08003
41.39711	2.19229	128 Carrer de Pallars, El Parc i la Llacuna del Poblenou, Barcelona, Barcelona, CT, ES, 08018
41.37804	2.1761	22 Carrer la Rambla, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.38314	2.17773	6 Carrer de Jaume I, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39102	2.16784	262 Carrer de la Diputació, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.39442	2.16334	271 Carrer de Mallorca, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.41001	2.16937	406 Carrer de Lepant, El Baix Guinardó, Barcelona, Barcelona, CT, ES, 08025
41.38966	2.17981	Carrer del Rec Comtal, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003
41.39624	2.15535	5 Via Augusta, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08006
41.37494	2.16114	115 Avinguda del Paral.lel, El Poblesec, Barcelona, Barcelona, CT, ES, 08004
41.39191	2.15692	83 Carrer d'Enric Granados, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.40631	2.20113	141 Carrer de Lope de Vega, El Poblenou, Barcelona, Barcelona, CT, ES, 08005
41.38973	2.16613	257 Carrer de la Diputació, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.39109	2.16651	40 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.41112	2.2185	1 Avinguda Diagonal, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08019
41.39003	2.14212	28 Carrer de Loreto, Les Corts, Barcelona, Barcelona, CT, ES, 08029
41.38613	2.16805	4 Carrer de Bergara, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08002
41.3809	2.18173	1 Passeig de Colom, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.37973	2.18078	12 Passeig de Colom, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39125	2.15913	216 Carrer de Mallorca, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.38132	2.14536	22 Avinguda de Roma, La Nova Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08015
